[00:00:00] 欢迎收听古爱,我是圣木工
[00:16:02] 因为你大可以在市场上
[00:16:04] 找到一堆所谓的
[00:16:04] 真的超便宜
[00:16:05] 殖利率又高的东西
[00:16:06] 然后你买了
[00:16:07] 放
[00:16:08] 好安心
[00:16:08] 结果它连涨都不会涨
[00:16:10] 这个其实是有很多的案例
[00:16:11] 所以像我不会去认为说
[00:16:12] SpaceX这样的公司
[00:16:13] 是一个卖梦
[00:16:14] 或是像下文章
[00:16:15] 有很多在那边写说
[00:16:16] 什么
[00:16:16] 这就是一个炒作
[00:16:17] 是一个本梦笔
[00:16:18] 这就是去堵它梦想实现
[00:16:19] 或什么的
[00:16:20] 我觉得不用去扯那么远
[00:16:22] 简单来讲就是说
[00:16:23] 会信的就是会信
[00:16:24] 不会信的就是不会信
[00:16:25] 有时候去买仿制股的
[00:16:26] 跟买这些太空股
[00:16:27] 那完全是两个不一样的人
[00:16:29] 然后就回到我们这几个人讲了
[00:16:30] 你根本没有必要去说服对方
[00:16:31] 你也没有办法说服对方
[00:16:32] 大概是这样子
[00:16:33] 那后来在盘中
[00:16:34] 也出现一个有趣的现象
[00:16:35] 就是一些在过去
[00:16:36] 跟卫星火箭相关的股票
[00:16:38] 不管什么RKLV
[00:16:39] ASTS
[00:16:40] 然后或者是Fly
[00:16:40] 就是这些
[00:16:41] 跟卫星或是通讯
[00:16:43] 有关系的股票
[00:16:45] 其实他们都出现了
[00:16:46] 一个大逃杀的状况
[00:16:47] 那其实像这样子的剧本
[00:16:48] 在过去也是看过几次
[00:16:50] 就是等到一个
[00:16:51] 本来是rumor的东西
[00:16:52] 然后开始实现之后
[00:16:53] 过去跟着题材
[00:16:55] 一起上来的东西
[00:16:55] 蛮多就会趁机的提款
[00:16:57] 这个就要呼应到
[00:16:57] 我们1月的节目
[00:16:58] 那时候跟大家聊到
[00:16:59] 因为那时候我是买了蛮多
[00:17:01] Starlene相关的股票
[00:17:02] 因为我们在供应链
[00:17:02] 已经有看到一些变化
[00:17:03] 那后来我自己是
[00:17:05] 差不多在2 3月左右就闪了
[00:17:07] 那理论上
[00:17:08] 其实我只要做到
[00:17:09] 像最近这个时候
[00:17:10] 然后再出
[00:17:11] 那只是因为
[00:17:12] 台股今年真的是太热闹
[00:17:14] 太多选项了
[00:17:15] 所以我就已经
[00:17:15] 提早就有去动了
[00:17:17] 然后像日股的Macle的话
[00:17:18] 那也因为说
[00:17:19] 后来去切被动元件
[00:17:21] 所以就有去做一些调整
[00:17:22] 那也注意到Macle
[00:17:23] 其实也是回档一阵子
[00:17:25] 所以看这个
[00:17:26] 就是在SpaceX
[00:17:28] 刚上市之后的一些
[00:17:29] 卫星或是通讯股的表现
[00:17:30] 那一天是不准
[00:17:31] 如果说你再持续的
[00:17:33] 去注意几天
[00:17:33] 如果它持续有软掉的话
[00:17:35] 那应该就是有蛮多资金
[00:17:36] 会趁这个机会
[00:17:37] 就要出货
[00:17:38] 因为你知道
[00:17:38] 人家已经从前面
[00:17:39] 可能已经蹲点蛮久
[00:17:40] 所以就趁这个机会
[00:17:41] 当成是一个
[00:17:42] 出货的时间点
[00:17:44] 大概这样
[00:17:44] 那之后如果说
[00:17:45] SpaceX的季报
[00:17:47] 或是怎么样
[00:17:47] 有什么有趣的变化
[00:17:48] 我们就在节目上面
[00:17:49] 跟大家分享
[00:17:50] 我觉得这个会
[00:17:51] 有点类似说
[00:17:52] 像我自己去持有特斯拉一样
[00:17:54] 它会有一点那种
[00:17:54] 就是我是去相挺它
[00:17:56] 那我觉得这个题材
[00:17:57] 很酷的一个背景
[00:17:58] 去做持有
[00:17:59] 那我的目标也是要赚钱
[00:18:00] 那只是呢
[00:18:01] 就是不会去针对它的估值
[00:18:03] 去做太多的讨论
[00:18:04] 就还是回到
[00:18:05] 我刚才前面讲的
[00:18:05] 因为你大家可以在市场里面
[00:18:07] 去买估值便宜的东西
[00:18:08] 你去买看看嘛
[00:18:09] 你就看会不会涨
[00:18:10] 很多时候估值便宜的东西
[00:18:11] 不一定会涨
[00:18:12] 所以在我们的portfolio里面
[00:18:13] 有些东西可能是
[00:18:14] 属于便宜的
[00:18:15] 那些东西是属于那种
[00:18:16] 卖梦的
[00:18:17] 就题材对的
[00:18:18] 那反正总之呢
[00:18:19] 就是看到此
[00:18:20] 市场的表现是怎么样
[00:18:21] 我们再去做调整
[00:18:22] 如果有照片
[00:18:22] 就是大家都开始回头
[00:18:23] 去拉一些价值果的话
[00:18:24] 你会注意到
[00:18:25] 满手就会变成价值果
[00:18:26] 就你去往那个方向去靠
[00:18:27] 会持续的用加减码
[00:18:28] 去做一些调整
[00:18:29] 大概这样子
[00:18:30] 好那接下来我们来看一下
[00:18:31] 台股盘面
[00:18:32] 那我先大概讲一下
[00:18:33] 自己的想法
[00:18:34] 就是我觉得
[00:18:35] 行情走到这个地方
[00:18:36] 应该某个程度上
[00:18:37] 是跌完的啦
[00:18:38] 就我会认为是
[00:18:39] 比较偏向是跌完了
[00:18:40] 除非后面有一些
[00:18:41] 新的事件的产生
[00:18:42] 那首先呢
[00:18:43] 要先知道说
[00:18:44] 像台股大跌
[00:18:45] 已经跑去摸跌停的那一天
[00:18:47] 那个算是
[00:18:48] 在市场上面
[00:18:49] 其实并没有什么
[00:18:49] 太多的消息出来
[00:18:50] 然后后来就CPI的公布
[00:18:52] 那其实对市场的影响
[00:18:53] 也是你就注意到说
[00:18:54] 是慢慢的限缩掉
[00:18:55] 那再来呢
[00:18:56] 就是川普有威胁说
[00:18:58] 要去夺岛作战
[00:18:59] 然后后来又说
[00:18:59] 我不打了或什么的
[00:19:00] 那你就注意到
[00:19:01] 对于市场的影响
[00:19:02] 其实真的都是
[00:19:03] 慢慢的在淡化之中
[00:19:04] 所以我觉得这一波
[00:19:05] 有点像是说
[00:19:06] 在掉下来的时候
[00:19:07] 他把所有的坏消息
[00:19:08] 都一次丢出来了
[00:19:09] 那所以如果炸一炸
[00:19:10] 然后之后没有
[00:19:11] 再继续破题的话
[00:19:12] 我个人就觉得说
[00:19:13] 可能修正就到这个地方
[00:19:14] 所以像我自己
[00:19:14] 就是持续的
[00:19:15] 把筹码推进去
[00:19:16] 我就是有
[00:19:20] 看说什么
[00:19:21] 他会回到季线
[00:19:22] 那如果真的回去季线的话
[00:19:23] 就变成说
[00:19:23] 我这部分就会被套到
[00:19:25] 但其实整体来看
[00:19:25] 真的是没差
[00:19:26] 因为这波真的拉太远了
[00:19:27] 所以以我这些角度就是
[00:19:29] 我不会想要去等到季线
[00:19:30] 就是我现在就已经开始
[00:19:31] 持续的去做一些买进
[00:19:33] 因为我觉得市场里面
[00:19:33] 其实还是有蛮多的
[00:19:34] 故事跟题材
[00:19:36] 可以持续的去看
[00:19:37] 那当然SpaceX
[00:19:38] 有没有办法再带动
[00:19:40] 新一波的卫星
[00:19:41] 或是火箭相关的类股
[00:19:43] 这个是有待商榷
[00:19:44] 我们要稍微看一下
[00:19:45] 以美股的第一天的表现来看
[00:19:46] 应该是趁机拿来出货
[00:19:48] 那我们就来观察一下
[00:19:49] 下礼拜台股会怎么样跑
[00:19:50] 那或许呢
[00:19:51] 有机会卫星也会变成是一个
[00:19:53] 就再拿出来的主权
[00:19:54] 但也有可能就到这边去做结束
[00:19:55] 因为毕竟其实
[00:19:56] 像我们跟大家分享
[00:19:57] 他从一月多
[00:19:58] 就已经开始一路在做反应了
[00:20:00] 那些其实都是
[00:20:01] 涨很多的东西
[00:20:02] 所以可能就是说
[00:20:03] 趁大家开始看到报纸
[00:20:05] 要去找卫星股的时候呢
[00:20:06] 预判你的预判
[00:20:07] 然后就给人家出货出到爆炸
[00:20:09] 这要再观察一下
[00:20:10] 那再来呢
[00:20:11] 被动人间在这个礼拜
[00:20:12] 也有新的一些消息传出来
[00:20:14] 去针对一些大型的ODM跟EMS
[00:20:17] 我们是有注意到说
[00:20:18] 有涨价成功的情形
[00:20:19] 所以其实也注意到
[00:20:21] 现在开始有蛮多的
[00:20:22] 券商报告去写
[00:20:23] 不管像是什么花旗
[00:20:24] 或是这个JP
[00:20:26] 或是我记得好像GS也有写了
[00:20:29] 那听说在下个礼拜
[00:20:31] 还下个礼拜
[00:20:31] 某个这个A加的
[00:20:33] 也要进去写
[00:20:34] 就是喜欢去用那个数字
[00:20:35] 当成是关键字的
[00:20:36] 类似说联发科
[00:20:38] 就是要目标价2454
[00:20:39] 台积键就2330
[00:20:41] 那当然国际的目标价2327
[00:20:43] 我们看后面会不会
[00:20:43] 有这样的情形发生
[00:20:45] 就是开始有越来越多人
[00:20:46] 把那个目标价
[00:20:47] 持续的去做上锈
[00:20:48] 那其实以我们现在
[00:20:50] 所看到的一个涨价状况来讲
[00:20:52] 我觉得有点超出
[00:20:54] 我自己的预期
[00:20:54] 像我本来是有去算了一个剧本
[00:20:57] 就是如果说从下个开始
[00:20:59] 它就是去复制2018的行情
[00:21:01] 那2018的行情是怎么样
[00:21:02] 就是说可能营收是翻了两倍
[00:21:03] 那可能毛利率呢
[00:21:04] 也是上去了一倍
[00:21:05] 那这样子的话
[00:21:06] EPS大概可以跑到
[00:21:07] 这样的一个数字
[00:21:08] 那也有去跟身边的一些朋友讨论
[00:21:09] 那只是呢
[00:21:10] 在最近的涨价里面
[00:21:12] 特别是我们看到已经有那种确定
[00:21:13] 涨成功的一些料号
[00:21:15] 那看起来的一个情形是
[00:21:17] 如果按照这样的速度的话
[00:21:19] 我们本来是规划说
[00:21:20] 大概可能要涨6到7次
[00:21:22] 才会到我们的terminal的一个位置
[00:21:24] 那照价子这个速度的话
[00:21:26] 其实只要两次的涨价
[00:21:27] 就会直接达到terminal的数字
[00:21:29] 所以就是有机会
[00:21:30] 还有上球的空间
[00:21:31] 然后简单来讲是这样子
[00:21:32] 那当然我们到这个结果眼
[00:21:34] 已经不会再去针对股价
[00:21:35] 去做太多的评论
[00:21:37] 那天地良心
[00:21:37] 我们也不会在
[00:21:38] 这个股价已经涨了多才开始讲
[00:21:40] 我们很早就跟大家讲
[00:21:41] 那只是那时候也是怎么讲
[00:21:43] 熬了一阵子
[00:21:44] 你也不知道这个东西
[00:21:45] 到底什么时候会喷
[00:21:46] 那只是下就喷出去
[00:21:47] 那已经喷出去
[00:21:47] 我们就不去针对股价
[00:21:48] 去做太多的评论
[00:21:49] 但整体来说呢
[00:21:51] 我们去follow基本面的角度
[00:21:52] 持续跟大家分享
[00:21:53] 就是我们现在有注意到
[00:21:54] 它涨价是有成功的
[00:21:56] 那而且涨的料号呢
[00:21:57] 不只是就是可能大家知道
[00:22:00] 那种最缺的AI的核心的料号
[00:22:02] 甚至一些那种周围影响的
[00:22:04] 或是那种中小尺寸的小东西
[00:22:07] 也开始有一些涨价的出现
[00:22:09] 那这个呢
[00:22:10] 其实有点像是说
[00:22:11] 不只是韩系日系
[00:22:12] 连台系下有些也开始
[00:22:14] 扮演这种什么样
[00:22:15] 涨价领头羊的一个角色
[00:22:17] 当它去针对一些料号
[00:22:18] 去做涨价
[00:22:19] 然后它也成功涨价成功的话
[00:22:20] 那当然其他人
[00:22:22] 就会跟着去涨价
[00:22:22] 所以这一波被动软件
[00:22:24] 其实按照目前的角度看起来
[00:22:26] 特别是我们有注意到
[00:22:28] 在业内的一些比较大型的厂商
[00:22:30] 目前还没有太多
[00:22:31] 大扩产的计划出来
[00:22:32] 所以有机会它会走一个
[00:22:34] 我们去类比记忆体
[00:22:36] 但我们不知道去形容说
[00:22:37] 像记忆体这么大一波
[00:22:38] 我们不知道去形容说
[00:22:39] 就它会走的相对长
[00:22:40] 跟过往的一个循环
[00:22:42] 的那个周期比起来
[00:22:44] 会相对长一点
[00:22:45] 因为大家可能是
[00:22:46] 比较不会这么的短视经历
[00:22:47] 像过去的一个大草市
[00:22:49] 它甚至是很快
[00:22:51] 就让大家去办公室里面
[00:22:52] 去做竞标
[00:22:52] 你要买多少料
[00:22:53] 你就进来用喊的
[00:22:54] 那你喊比较高
[00:22:55] 你就可以把它买走
[00:22:56] 那这样子有点那种
[00:22:57] 杀鸡取卵的行为
[00:22:58] 后来就是会导致说
[00:23:00] 可能在一些客户的影响之下
[00:23:01] 你的价东西就掉到很低
[00:23:02] 那在这一波呢
[00:23:04] 我们就有注意到说
[00:23:05] 大家都是相对节制的
[00:23:06] 在扩产
[00:23:07] 或者说在涨价方面
[00:23:08] 其实都是比较小心的
[00:23:10] 那你看到一些那种
[00:23:11] 比较暴力的涨价
[00:23:12] 我们看到那种
[00:23:12] 中位数到几十%以上
[00:23:14] 那个应该是
[00:23:15] 也是建立过谈判之后
[00:23:17] 然后确定说
[00:23:17] 就是有这样子的一个需求
[00:23:19] 才会导致的现象
[00:23:20] 那我们目前也注意到
[00:23:21] 在日系这边呢
[00:23:22] 也是跟韩系一样
[00:23:24] 就是跟进了
[00:23:24] 开始有去做一些
[00:23:25] 配货的操作
[00:23:26] 那虽然我们自己
[00:23:27] 有一些产业圈的朋友
[00:23:28] 就跟我讲说
[00:23:29] 因为我讲说
[00:23:29] 我听说某日系
[00:23:31] 已经开始在做配货
[00:23:32] 他说可能不知道
[00:23:33] 在一两个月前
[00:23:33] 就已经有这样做
[00:23:34] 那我说我们投资圈的
[00:23:35] 可能那个鸽费比较慢
[00:23:36] 就是我们现在才听说到
[00:23:38] 有配货的情形
[00:23:39] 那当这个配货的情形
[00:23:41] 开始出来之后呢
[00:23:42] 当然就是会更加的去检验说
[00:23:44] 到底这个需求是真是假
[00:23:45] 因为前面可能是
[00:23:46] 大家FOMO在那边乱叫货
[00:23:48] 那或者说可能是
[00:23:49] 在反映成本的一个涨价
[00:23:51] 那可是当开始要去做配货
[00:23:53] 开始要去厘清说
[00:23:54] 到底每个客户要多少
[00:23:55] 因为像是说那时候NVIDIA
[00:23:56] 那他也会去
[00:23:57] 透过他的ODM OEM
[00:23:59] 去厘清说
[00:23:59] 到底终端客户是谁吗
[00:24:01] 第一个就是
[00:24:01] 因为这个东西
[00:24:02] 不可以出给中国
[00:24:02] 然后第二个是
[00:24:03] 我要知道说
[00:24:04] 里面有没有overbooking的
[00:24:05] 一个现象产生
[00:24:06] 所以当全面配货的一个机制
[00:24:08] 把它run下去之后呢
[00:24:09] 我觉得很快就会实际的
[00:24:10] 去反映说
[00:24:11] 目前的供需的状态
[00:24:13] 到底是怎么样
[00:24:13] 那以现在来看
[00:24:15] 就是我们不评论股价
[00:24:16] 我们用产业的角度
[00:24:17] 我觉得那个价格
[00:24:19] 可能都还在一个
[00:24:19] 上涨的过程之中
[00:24:21] 所以后续再来做一些观察
[00:24:23] 那再来就是
[00:24:24] Enferbi这边推出了Fable
[00:24:26] 那Fable的话
[00:24:27] 我在过去一阵子
[00:24:29] 有稍微就去做使用一下
[00:24:30] 我觉得还是一如往常
[00:24:31] Enferbi的模型
[00:24:32] 都是非常好用的
[00:24:33] 那但是有趣的是
[00:24:34] Fable目前是在海外
[00:24:36] 是已经受到了
[00:24:37] 美国出口的一个管制
[00:24:39] 那大家如果想要去打开
[00:24:40] 你的模型
[00:24:41] 一开始我自己在
[00:24:42] Perplexity上面
[00:24:43] 还是可以间接的去用到
[00:24:44] 然后只是我
[00:24:45] 刚刚在录节目前
[00:24:46] 我去测试
[00:24:47] 就发现说也被锁起来了
[00:24:48] 就是呢
[00:24:49] 他认为说这个东西
[00:24:50] 有可能会帮助到一些
[00:24:51] 什么境外势力啊
[00:24:53] 或者可能就是像
[00:24:54] 这个Dario Amodi
[00:24:55] 自己讲的
[00:24:56] 很危险
[00:24:57] 那对啊
[00:24:57] 就我前面说的嘛
[00:24:58] 你一直讲自己东西
[00:24:59] 很危险很恐怖
[00:25:00] 你就是会去吃监管铁拳
[00:25:02] 爽
[00:25:02] 就是爽死了
[00:25:03] 但说不定这个
[00:25:04] 就是他要的
[00:25:05] 就是呢
[00:25:05] 我自己也会吃到一点监管
[00:25:06] 可是你们就被监管
[00:25:08] 给封死
[00:25:08] 就是我还是不太知道
[00:25:10] 为什么他这样说
[00:25:10] 那我这方面是蛮认同
[00:25:12] Panity的那个Alex Karp讲的
[00:25:14] 就是呢
[00:25:15] OpenAI的Sam Altman
[00:25:16] 然后跟Anthropic的
[00:25:17] Dario Amodi
[00:25:19] 他们不知道自己有多讨人厌
[00:25:21] 他们真的是非常讨人厌的
[00:25:22] 那种个性啊
[00:25:23] 当然现在已经注意到
[00:25:25] 他们两个的修持
[00:25:25] 都有去做一点调整
[00:25:27] 就是不像过去是
[00:25:29] 一昧的诉诸恐惧
[00:25:30] 然后但他诉诸恐惧的一个后果
[00:25:32] 现在就看到了嘛
[00:25:33] 就是可能会开始
[00:25:34] 面临一些监管
[00:25:35] 现在是不给海外的人用
[00:25:37] 说不定后来还会再有
[00:25:38] 更多的监管铁拳打下来
[00:25:39] 那严重一点的话呢
[00:25:41] 这搞不好会影响到他
[00:25:43] 整体的市场的触及度啊
[00:25:45] 那搞不好
[00:25:45] 也有可能在某次的修正
[00:25:47] 就会被拿来当一个故事啊
[00:25:48] 所以就会不太明白
[00:25:50] 为什么前面一直要去诉诸恐惧啊
[00:25:53] 反正我不知道
[00:25:54] 我看这两个人的脸
[00:25:55] 我觉得这两个人都怪怪
[00:25:55] 但是呢
[00:25:56] 不能否认的是
[00:25:57] 他们的产品真的都是非常的好用
[00:25:59] 然后只是说
[00:26:00] 在自己的那种感性上
[00:26:02] 就像那时候
[00:26:02] 我跟大家分享说
[00:26:03] 我觉得
[00:26:03] All in Pod里面
[00:26:05] 那个Palihubity
[00:26:06] 以前我也是蛮喜欢他的
[00:26:07] 之后来就觉得
[00:26:08] 干这个很怪怪的
[00:26:09] 其实有很多那种
[00:26:10] 什么
[00:26:10] Investment Hero啊
[00:26:12] 或者是
[00:26:12] 很有声量的人
[00:26:14] 你后来就观察他们
[00:26:16] 都会注意到他们
[00:26:17] 有一点奇怪哦
[00:26:18] 那蛮多时候
[00:26:18] 我觉得我们自己的直觉
[00:26:19] 真的蛮准的
[00:26:20] 当我觉得你怪怪的时候
[00:26:21] 你可能真的哪里怪怪的
[00:26:22] 那后面可能就会开始出现一些
[00:26:24] 就是我们认为说
[00:26:25] 你这样做会带来的一些代价啦
[00:26:27] 那总之呢
[00:26:28] 我目前去用了
[00:26:30] 那个Fable的模型
[00:26:31] 虽然没有很长的一个使用时长
[00:26:33] 但是
[00:26:33] 算是非常的全面
[00:26:35] 而且它的速度是相对快的
[00:26:36] 当然它的Token也是烧得很快
[00:26:38] 所以就会回到
[00:26:39] 最经典的那个讨论
[00:26:40] 也就是
[00:26:41] 未来可能是在一些前端的实验室
[00:26:44] 或者是科学巨头
[00:26:45] 他们去做一些
[00:26:46] 比较前沿项目的时候
[00:26:47] 会去用这些最高价的模型
[00:26:48] 那后面呢
[00:26:49] 会有一个市场
[00:26:50] 会有一些
[00:26:51] 相对低价
[00:26:52] 相对便宜的模型
[00:26:53] 去做满足
[00:26:54] 甚至是由地端模型
[00:26:55] 直接去做满足
[00:26:56] 那到时候呢
[00:26:57] Edge Computing
[00:26:57] 就会变成是一个很大的话题
[00:26:59] 那我觉得那一天的到来
[00:27:00] 其实已经不远了
[00:27:01] 也就是在过去的
[00:27:02] 两三年
[00:27:03] 我们认为说Edge Computing
[00:27:04] 是一个时间味道的东西
[00:27:06] 可是呢
[00:27:06] 当今天你把前沿模型
[00:27:08] 拉到非常强大
[00:27:10] 然后在TOW之间
[00:27:10] 有个听众讲了
[00:27:11] 大概开放模型呢
[00:27:12] 是在这些闭锁模型
[00:27:14] 后面的半年
[00:27:15] 所以如果说闭锁模型
[00:27:16] 在这些开放模型
[00:27:18] 已经是摸到一个
[00:27:19] 新的结界之后
[00:27:20] 在后面
[00:27:20] 也拉到了一个
[00:27:21] 相对强的水准的话
[00:27:23] 那透过地端的算力
[00:27:24] 就可以完成绝大多数
[00:27:26] 大家可能在一两年前
[00:27:27] AI可以办到的事情
[00:27:28] 就我们现在讲一两年前
[00:27:29] 可能你已经觉得说
[00:27:31] 一两年前AI就不错了
[00:27:32] 那如果是在一两年前
[00:27:33] 去讲一两年前
[00:27:34] 就是说三四年前的话
[00:27:35] 那那时候的AI是
[00:27:37] 就是威尔史密斯
[00:27:37] 一开始吃那个意大利面
[00:27:39] 就是会甚至有点
[00:27:40] 那种恐怖股效应
[00:27:41] 很猥胁
[00:27:42] 很恶心这样
[00:27:43] 那只是后来
[00:27:44] 它的发展是越来越好
[00:27:45] 所以如果可以
[00:27:46] 这样去推的话
[00:27:47] 我们不要抓半年
[00:27:48] 我们就抓一年
[00:27:48] 就是你等到
[00:27:50] 可能现在你往回看一年
[00:27:52] 其实去年的模型
[00:27:52] 就不错了嘛
[00:27:53] 那如果今天是2028
[00:27:54] 你往回看一年
[00:27:55] 2027的模型
[00:27:56] 其实对我们绝大多数人来讲
[00:27:57] 一定就是非常够用
[00:27:58] 然后这些东西
[00:27:59] 可以直接完全的run在地端
[00:28:00] 那到时候地端的装置
[00:28:02] 就是有机会去
[00:28:03] 迎来一波爆发了
[00:28:04] 那以及呢
[00:28:05] 就是如果说
[00:28:06] 这些最前端的模型
[00:28:07] 后面开始会去吃到
[00:28:08] 一些监管铁拳的话
[00:28:09] 有可能市场的偏好
[00:28:10] 就会从去追求
[00:28:12] 这些大模型
[00:28:13] 然后跟大cluster的运算
[00:28:14] 开始跑去Edge那边
[00:28:15] 所以有可能
[00:28:16] MODE这样的一系列的说法
[00:28:18] 会导致这样一个
[00:28:19] 新的趋势的产生
[00:28:20] 当然现在去call这个
[00:28:21] 可能是太早
[00:28:21] 但是已经开始有闻到
[00:28:23] 这样子的一个味道
[00:28:24] 就当某些东西
[00:28:25] 开始会出现一些利空
[00:28:26] 去打击它的时候
[00:28:27] 那有可能大家就会
[00:28:28] 把方向转去另外一个
[00:28:30] 可能成长性没有这么好
[00:28:31] 但是也不错
[00:28:32] 那同时呢
[00:28:33] 可能是筹码干净
[00:28:34] 那就相对在低气息的地方
[00:28:35] 这就是有机会
[00:28:36] 在后面会被大家
[00:28:37] 注意到的东西
[00:28:38] 好大概这样
[00:28:39] 那这些节目先聊
[00:28:39] 这我们接下来去Q的部分
[00:28:40] 第一位
[00:28:41] 糖醋鱼骨
[00:28:42] 孟公武安
[00:28:42] 孟公还记得第一次
[00:28:43] 搭商务舱的感觉吗
[00:28:45] 想象一下未来诺亚的同学
[00:28:46] 跟他炫耀自己搭过经济舱
[00:28:48] 诺亚回来跟你抱怨说
[00:28:49] 为什么别人都有搭过经济舱
[00:28:51] 就我没有
[00:28:52] 第一次搭商务舱的感觉
[00:28:55] 就是
[00:28:55] 蛮新鲜的啦
[00:28:57] 然后你就会想要去把
[00:28:58] 每个饮料都点一次这样
[00:29:00] 然后现在去搭商务舱的感觉
[00:29:02] 就是上去就直接睡觉
[00:29:04] 就是甚至有些餐
[00:29:05] 我就不吃了
[00:29:06] 反正我就是上去睡觉
[00:29:07] 我只想要赶快到目的地
[00:29:08] 那也不会在意说什么
[00:29:09] 他旁边的那个小包里
[00:29:11] 没有什么东西
[00:29:11] 有乳液
[00:29:12] 有拖鞋
[00:29:13] 就完全不屌
[00:29:13] 我只想要睡觉
[00:29:14] 目前是变成这样子一个情形
[00:29:16] 就是不会觉得
[00:29:16] 这是一个什么特别的东西
[00:29:18] 那孩子的话
[00:29:19] 有没有搭过经济舱
[00:29:19] 还是有搭过啊
[00:29:20] 就一些短程的话
[00:29:21] 还是会搭经济舱啊
[00:29:22] 就是不会觉得说
[00:29:23] 什么每个都一定要买商务舱这样
[00:29:25] 那当然如果有商务舱的话
[00:29:26] 就会去选商务舱
[00:29:27] 那只是
[00:29:27] 如果是一些比较短程的
[00:29:29] 甚至会觉得说
[00:29:30] 大家可以这样做一排
[00:29:31] 是蛮有趣的
[00:29:31] 所以是蛮有弹性的
[00:29:33] 就我很常跟大家讲的
[00:29:34] 就如果说你真的是一个
[00:29:35] 在资产上面是有余裕的人
[00:29:37] 其实你比较常见的样态
[00:29:39] 应该是
[00:29:40] 至少以我观察身边的朋友
[00:29:41] 就是你是很自在的
[00:29:42] 你可以吃路边摊
[00:29:43] 你也可以吃贵的
[00:29:45] 你可以坐商务舱
[00:29:46] 甚至你可以包机
[00:29:47] 已经蛮多人这样子做
[00:29:48] 你也可以去坐经济舱
[00:29:50] 就只是看当下的感受是怎么样
[00:29:52] 那些会一昧去追求说
[00:29:53] 没有什么我不做
[00:29:54] 没有什么我不吃
[00:29:56] 没有什么我不喝
[00:29:57] 那个应该都是
[00:29:57] 才刚起来的那种爆发户
[00:29:59] 就会有这样子一个现象
[00:30:00] 就自卑啦
[00:30:01] 自卑就会变这样子
[00:30:02] 下面一位
[00:30:02] 奇怪名字都有人用
[00:30:04] 爱阿公
[00:30:04] 猛攻希望哪天可以遇到你
[00:30:06] 爱心
[00:30:07] 好爱你
[00:30:07] 下面一位
[00:30:08] 奈米小谷谜
[00:30:09] 谷爱节目优质一声推
[00:30:11] 梦工大大好
[00:30:12] 听到你说以后
[00:30:13] 有可能会突然停泊
[00:30:14] 就好像突然少了一个
[00:30:16] 好朋友的感觉
[00:30:17] 虽然我们完全不认识
[00:30:18] 谢谢你每周两次
[00:30:19] 分享产业最新动态
[00:30:20] 祝梦公益家
[00:30:21] 平安
[00:30:21] 顺利安哥
[00:30:22] 诺雅
[00:30:22] 平安
[00:30:23] 长大爱你
[00:30:23] 我爱你
[00:30:24] 其实我并不是要去塑造一个
[00:30:26] 好像要跟大家分开的一个氛围
[00:30:28] 我只是就是像
[00:30:29] 以往我也都一直都这样
[00:30:31] 我一直跟大家讲说
[00:30:32] 我不知道为什么
[00:30:32] 会有人要跟我拍照
[00:30:34] 我也不知道这个节目
[00:30:35] 可以到什么时候
[00:30:35] 其实我从以前到现在
[00:30:37] 十年如一日
[00:30:38] 没有到十年
[00:30:38] 就是四五年
[00:30:39] 五六年
[00:30:39] 我觉得态度都是一样的
[00:30:41] 那对我自己来讲
[00:30:42] 我维持这样一个心态的好处是
[00:30:44] 我不太怕失去
[00:30:45] 我跟自己身边有一位朋友
[00:30:46] 那个比较极端
[00:30:47] 他是随时都做好
[00:30:49] 失去一切的准备
[00:30:50] 我不是做好
[00:30:50] 失去一切的准备
[00:30:51] 我是做好
[00:30:52] 随时可以抽身
[00:30:53] 不被影响的准备
[00:30:54] 那我觉得这个对我来讲
[00:30:55] 是在心理上比较健康的
[00:30:57] 不管是
[00:30:57] 可能节目有照一日
[00:30:58] 突然间就停掉
[00:30:59] 或是呢
[00:31:00] 我的一些小投资
[00:31:01] 如果有照一日
[00:31:02] 我不做的话
[00:31:02] 我也知道说
[00:31:03] 我可以找谁去做
[00:31:04] 接手帮我看着
[00:31:05] 或者说
[00:31:05] 节目有一天突然间
[00:31:07] 觉得说
[00:31:07] 负担太大
[00:31:08] 想要休息一下之类的
[00:31:09] 那我可能随时可以离开
[00:31:11] 或者说我之后想回来的时候
[00:31:12] 搞不好还会有些人
[00:31:13] 要祈祷我回来之类
[00:31:14] 就我会去做好这样子的
[00:31:15] 各种心理准备
[00:31:16] 就是我不会觉得说什么
[00:31:17] 这个是我的节目
[00:31:18] 所以我一定要死抱着他
[00:31:20] 我要去维持他
[00:31:21] 我一定要让他很好
[00:31:22] 什么的
[00:31:22] 我对所有东西的态度都是
[00:31:24] 我觉得他会来
[00:31:25] 他也可能会走
[00:31:26] 那所以就是用这种
[00:31:27] 比较忠信
[00:31:29] 比较像是过客的态度去看他
[00:31:31] 那刚好在深圳那一天
[00:31:32] 有这样的感想发挥出来而已
[00:31:34] 大概是这样
[00:31:35] 那不是说什么
[00:31:35] 立刻要跟大家说再见
[00:31:36] 但是一定会有说再见的一天
[00:31:38] 下面一位PVENRT
[00:31:41] 母体局限
[00:31:42] AI要怎么取代人类
[00:31:43] 他知识最大的限制
[00:31:44] 就是人为他的那些东西
